id,content,options,type,answer
1,火鹰小队连载漫画中姬小满为何前往海都？,"{""A"":""逃课的借口"",""B"":""母亲的遗愿"",""C"":""找人比武"",""D"":""参加宴会""}",0,B
2,姬小满和云缨在谁那里找到了机器人小烦?,"{""A"":""莱西奥"",""B"":""狂铁"",""C"":""马可波罗"",""D"":""米莱狄""}",0,C
3,莱西奥和狂铁在废弃港口计划着什么？,"{""A"":""逃离海都"",""B"":""开走火鹰号"",""C"":""暴打米莱迪"",""D"":""偷走海荧石""}",0,B
4,姬小满在东方商会仓库与谁不打不相识？,"{""A"":""莱西奥"",""B"":""米莱狄"",""C"":""狂铁"",""D"":""海诺""}",0,C
5,从东方商会逃走后，海荧石藏在了谁的身上？,"{""A"":""狂铁"",""B"":""姬小满"",""C"":""机器人小烦"",""D"":""莱西奥""}",0,C
6,谁意外来到了前往迷雾之海的火鹰号上？,"{""A"":""朵莉亚"",""B"":""姬小满"",""C"":""狂铁"",""D"":""海诺""}",0,A
7,帝俊阳魂附在了谁的身上？,"{""A"":""米莱狄"",""B"":""雅典娜"",""C"":""火鹰船长"",""D"":""露娜""}",0,B
8,谁不是火鹰小队的成员？,"{""A"":""莱西奥"",""B"":""狂铁"",""C"":""海诺"",""D"":""姬小满""}",0,C
9,谁的技能能帮助大家伤口愈合？,"{""A"":""姬小满"",""B"":""朵莉亚"",""C"":""海诺"",""D"":""亚连""}",0,B
10,小满来自哪个家族？,"{""A"":""月亮家族"",""B"":""高塔家族"",""C"":""隐者家族"",""D"":""命运家族""}",0,C
11,狂铁的手臂是被谁砍掉的？,"{""A"":""雇佣兵"",""B"":""米莱狄"",""C"":""铠"",""D"":""亚连""}",0,B
12,澜会完成“目标”为蔡文姬的任务吗？,"{""A"":""任务成功，澜，从不失手"",""B"":""任务失败，冷酷杀手被唤醒内心温暖纯真"",""C"":""任务成功，鲨鱼无需同伴"",""D"":""任务失败，蔡文姬武力超高战胜了澜""}",0,B
13,公孙离拿到手的长城文书中有谁的秘密？,"{""A"":""裴擒虎"",""B"":""李信"",""C"":""弈星"",""D"":""杨玉环""}",0,B
14,谁的样貌可逆如回少时？,"{""A"":""鬼谷子"",""B"":""东皇太一"",""C"":""云中君"",""D"":""瑶""}",0,A
15,马可波罗最感兴趣的是什么？,"{""A"":""书籍"",""B"":""精密机关"",""C"":""古董"",""D"":""珍宝""}",0,B
16,伽罗射箭时发生什么让她的父亲感到惊讶？,"{""A"":""力气太大了"",""B"":""力气太小了"",""C"":""严重脱靶"",""D"":""弓箭断了""}",0,A
17,朵莉亚前往迷雾之海时救了谁？,"{""A"":""海鸥"",""B"":""海参"",""C"":""海星"",""D"":""海诺""}",0,D
18,云缨立志成为像谁一样的人物？,"{""A"":""武则天"",""B"":""李娘子"",""C"":""姬小满"",""D"":""上官婉儿""}",0,B
19,朵朵拿着画像是在找谁？,"{""A"":""海诺"",""B"":""马可波罗"",""C"":""亚连"",""D"":""狂铁""}",0,A
20,海诺来自哪个家族？,"{""A"":""隐者家族"",""B"":""月亮家族"",""C"":""高塔家族"",""D"":""命运家族""}",0,D
21,卢雅那的红色披巾象征着什么？,"{""A"":""火蛇小队的荣誉标志"",""B"":""权利的象征"",""C"":""实力的象征"",""D"":""魅力的象征""}",0,A
22,怪物来袭，镜为什么一直不出手？,"{""A"":""见死不救"",""B"":""等待时机"",""C"":""力不从心"",""D"":""无能为力""}",0,B
23,大司命为何定要无情？,"{""A"":""坚守职责"",""B"":""保护所爱"",""C"":""追求至高境界"",""D"":""修得无情道""}",0,A
24,谁获得了天下无双的名号？,"{""A"":""宫本"",""B"":""李白"",""C"":""未分胜负"",""D"":""两败俱伤""}",0,C
25,是谁让婉儿的祖父含冤入狱？,"{""A"":""武则天"",""B"":""狄仁杰"",""C"":""明世隐"",""D"":""芈月""}",0,C
26,谁来找少司缘算过姻缘?,"{""A"":""朵莉亚"",""B"":""瑶"",""C"":""大司命"",""D"":""云中君""}",0,B
27,云中君问话，瑶有说实话吗？,"{""A"":""有"",""B"":""没有"",""C"":"""",""D"":""""}",0,B
28,蒙犽和父亲决裂后决定前往哪里?,"{""A"":""稷下"",""B"":""玄雍"",""C"":""长安"",""D"":""海都""}",0,A
29,西施想要卖掉的会喷火的小木偶是谁？,"{""A"":""孙膑"",""B"":""李元芳"",""C"":""鲁班七号"",""D"":""安琪拉""}",0,C
30,西施被追债，是谁救了她？,"{""A"":""曜"",""B"":""老夫子"",""C"":""庄周"",""D"":""蒙犽""}",0,C
31,芈月找徐福配置灵药是为了什么？,"{""A"":""青春永驻"",""B"":""功力大涨"",""C"":""解毒"",""D"":""治病""}",0,A
32,弈星的棋道是什么？,"{""A"":""不可不胜"",""B"":""不得贪胜"",""C"":""两者都有"",""D"":""两者都不是""}",0,C
33,朋友们给弈星准备的冬至大餐是什么？,"{""A"":""饺子"",""B"":""汤圆"",""C"":""面包"",""D"":""面条""}",0,A
34,百里玄策和兰陵王是什么关系？,"{""A"":""兄弟"",""B"":""师徒"",""C"":""敌对"",""D"":""陌生人""}",0,B
35,百里守约和百里玄策是什么关系？,"{""A"":""兄弟"",""B"":""朋友"",""C"":""敌对"",""D"":""陌生人""}",0,A
36,哥哥被灭口后，阿轲的选择是？,"{""A"":""刺杀秦王"",""B"":""刺杀太子丹"",""C"":""归隐于世"",""D"":""一蹶不振""}",0,B
37,谁被一个叫梅林的魔法师附身了？,"{""A"":""亚瑟"",""B"":""安琪拉"",""C"":""艾琳"",""D"":""夏洛特""}",0,B
38,谁拔出来了誓约胜利之剑？,"{""A"":""亚瑟"",""B"":""夏洛特"",""C"":""安琪拉"",""D"":""狂铁""}",0,A
39,"“欸，这张冰块儿脸，总有些面熟呢？”
朵朵口中的“冰块儿脸”是谁？","{""A"":""莱西奥"",""B"":""狂铁"",""C"":""海诺"",""D"":""李白""}",1,C
40,要藏好我的***，别被人类发现啦！,"{""A"":""鱼尾巴"",""B"":""猫尾巴"",""C"":""熊微博"",""D"":""狐狸尾巴""}",1,A
41,“要努力变强！”是谁的口头禅,"{""A"":""安琪拉"",""B"":""甄姬"",""C"":""大乔"",""D"":""小乔""}",1,D
42,安琪拉的口头禅是？,"{""A"":""知识，就是力量！"",""B"":""请尽情吩咐妲己，主人。"",""C"":""凛冬已至。"",""D"":""逗~~你~~玩~~~""}",1,A
43,澜碰到蔡文姬会说：,"{""A"":""收割开始！"",""B"":""斩草除根!"",""C"":""说了多少次，别往一个杀手头上随便插小花"",""D"":""你那么的美好""}",1,C
44,孙策碰到大乔会说：,"{""A"":""一往无前的浪"",""B"":""在大海中起航~"",""C"":""请允许我，余生都为你带来笑容吧"",""D"":""上船，启航""}",1,C
45,鲁班使用2技能时会说,"{""A"":""人间大炮，发射！"",""B"":""有人需要技术支持吗？"",""C"":""相信科学！"",""D"":""哇，漏……漏油了！""}",1,A
46,曜看到谁会说“老师，我错了。”,"{""A"":""姜子牙"",""B"":""老夫子"",""C"":""鬼谷子"",""D"":""大司命""}",1,B
47,曜对李白说“和我一起去征服世界吧，***！”,"{""A"":""偶像"",""B"":""兄弟"",""C"":""老师"",""D"":""陌生人""}",1,A
48,谁说的“心有猛虎”？,"{""A"":""关羽"",""B"":""张飞"",""C"":""刘备"",""D"":""刘邦""}",1,B
49,谁的智商250？,"{""A"":""鲁班"",""B"":""后羿"",""C"":""孙尚香"",""D"":""虞姬""}",1,A
50,"“送你个轰轰烈烈的退场，感谢本小姐大恩大德吧！”
这句话的主人公是？","{""A"":""孙尚香"",""B"":""艾琳"",""C"":""虞姬"",""D"":""卢雅那""}",1,A
51,"瑶：“小缘，我真的什么都没有在想！”
少司缘：“是~你真的没有在想某个天上的神君～他也真的没有鸟一样的爪子和云一样的头发～”
瑶在想谁呢？","{""A"":""大司命"",""B"":""云中君"",""C"":""东皇太一"",""D"":""鬼谷子""}",1,B
52,“想回到过去，也想去未来瞅瞅”说的是谁？,"{""A"":""海诺"",""B"":""孙膑"",""C"":""伽罗"",""D"":""鬼谷子""}",1,B
53,谁想要“忘掉属于公主的规矩”？,"{""A"":""艾琳"",""B"":""朵莉亚"",""C"":""甄姬"",""D"":""王昭君""}",1,A
54,“我可是重量级的”说的是？,"{""A"":""廉颇"",""B"":""张飞"",""C"":""亚瑟"",""D"":""关羽""}",1,A
55,"“陌生人，我好像在哪儿见过你？”
说话的人是？","{""A"":""海诺"",""B"":""姬小满"",""C"":""朵莉亚"",""D"":""莱西奥""}",1,C
56,"“当故事还在讲述，过去就还在传承。”
“千窟，正在守护它的传承。”
这是谁和谁之间的对话？","{""A"":""伽罗和桑启"",""B"":""伽罗和兰陵王"",""C"":""桑启和兰陵王"",""D"":""伽罗和铠""}",1,A
57,“别担心，火鹰来了！”是谁说的？,"{""A"":""狂铁"",""B"":""莱西奥"",""C"":""姬小满"",""D"":""朵莉亚""}",1,B
58,“没有什么比***更令人心情愉悦了。”,"{""A"":""小鱼干"",""B"":""小饼干"",""C"":""小蛋糕"",""D"":""小糖果""}",1,A
59,哪句是兰陵王的台词？,"{""A"":""暗中观察！"",""B"":""收割开始！"",""C"":""神来之笔！"",""D"":""无需代价""}",1,B
60,"瑶：“你好，小蛇。”
瑶在跟谁打招呼？","{""A"":""东皇太一"",""B"":""朵莉亚"",""C"":""卢雅那"",""D"":""敖隐""}",1,A
61,"蔡文姬：“你会一直保护文姬吗？”
这里“你”指的是？","{""A"":""刘禅"",""B"":""澜"",""C"":""诸葛亮"",""D"":""典韦""}",1,B
62,“是时候来发炸裂的开场了！“是谁的台词？,"{""A"":""黄忠"",""B"":""鲁班七号"",""C"":""孙尚香"",""D"":""百里守约""}",1,A
63,"大司命：“何人擅闯忘忧沼泽。”
谁闯入了忘忧沼泽？","{""A"":""瑶"",""B"":""云中君"",""C"":""少司缘"",""D"":""东皇太一""}",1,C
64,谁的“美貌也是武器”？,"{""A"":""貂蝉"",""B"":""王昭君"",""C"":""甄姬"",""D"":""西施""}",1,A
65,“情绪调配，火力翻倍！”这是谁的台词？,"{""A"":""蒙犽"",""B"":""黄忠"",""C"":""卢雅那"",""D"":""鲁班七号""}",1,A
66,"刘禅：“蓉城是我家，***最伟大！”
刘禅认为谁是最伟大的？","{""A"":""阿骨朵"",""B"":""蔡文姬"",""C"":""诸葛亮"",""D"":""他爹""}",1,D
67,"“狄大人，今天一起加班吗？”
谁发出了加班邀请？","{""A"":""李元芳"",""B"":""上官婉儿"",""C"":""云缨"",""D"":""李白""}",1,A
68,"芈月：“***？那是秘密。”
芈月的秘密是什么？","{""A"":""她的年龄"",""B"":""她的血型"",""C"":""她的过去"",""D"":""她的保养秘诀""}",1,A
69,下列英雄里哪个英雄最高？,"{""A"":""海诺"",""B"":""桑启"",""C"":""铠"",""D"":""澜""}",5,C
70,下面哪个英雄小时候怕黑？,"{""A"":""大司命"",""B"":""少司缘"",""C"":""瑶"",""D"":""东皇太一""}",5,A
71,蒙犽的武器叫什么名字？,"{""A"":""冲天"",""B"":""浑天"",""C"":""无拘"",""D"":""机关枪炮""}",5,B
72,下面哪个英雄的武器是弓箭,"{""A"":""后羿"",""B"":""马可波罗"",""C"":""虞姬"",""D"":""孙尚香""}",5,A
73,孙尚香的哥哥是谁？,"{""A"":""周瑜"",""B"":""孙策"",""C"":""曹操"",""D"":""刘备""}",5,B
74,下面哪个英雄最擅长书法？,"{""A"":""弈星"",""B"":""庄周"",""C"":""杨玉环"",""D"":""上官婉儿""}",5,D
75,敖隐一共有几把剑？,"{""A"":""1"",""B"":""2"",""C"":""3"",""D"":""4""}",5,D
76,海诺的头发是什么颜色的？,"{""A"":""黑色"",""B"":""银白色"",""C"":""灰色"",""D"":""黄色""}",5,B
77,姬小满的师傅是谁？,"{""A"":""老夫子"",""B"":""墨子"",""C"":""庄周"",""D"":""姜子牙""}",5,A
78,下面哪个英雄最话痨？,"{""A"":""西施"",""B"":""孙膑"",""C"":""曜"",""D"":""蒙犽""}",5,C
79,莱西奥最喜欢哪种小动物？,"{""A"":""猫"",""B"":""狗"",""C"":""仓鼠"",""D"":""鸽子""}",5,A
80,裴擒虎最擅长什么功夫？,"{""A"":""太极"",""B"":""虎拳"",""C"":""柔道"",""D"":""空手道""}",5,B
81,澜脖子上的围巾是什么颜色的？,"{""A"":""蓝色"",""B"":""红色"",""C"":""黄色"",""D"":""黑色""}",5,A
82,下面哪个英雄的发型是双马尾？,"{""A"":""小乔"",""B"":""貂蝉"",""C"":""杨玉环"",""D"":""安琪拉""}",5,D
83,下面哪个英雄经常戴眼镜？,"{""A"":""诸葛亮"",""B"":""司马懿"",""C"":""张良"",""D"":""周瑜""}",5,C
84,阿古朵最好的朋友叫什么名字？,"{""A"":""球球"",""B"":""圆圆"",""C"":""喵喵"",""D"":""汪汪""}",5,A
85,下面哪个英雄的头发最短？,"{""A"":""大司命"",""B"":""镜"",""C"":""刀锋宝贝"",""D"":""朵莉亚""}",5,B
86,下面哪个英雄最会做饭？,"{""A"":""花木兰"",""B"":""百里玄策"",""C"":""百里守约"",""D"":""铠""}",5,C
87,下面哪个英雄有洁癖？,"{""A"":""瑶"",""B"":""东皇太一"",""C"":""鬼谷子"",""D"":""云中君""}",5,D
88,伽罗擅长哪种乐器？,"{""A"":""吉他"",""B"":""羌笛"",""C"":""琵琶"",""D"":""口琴""}",5,B
89,下面哪个英雄饭量最大？,"{""A"":""狂铁"",""B"":""莱西奥"",""C"":""亚连"",""D"":""海诺""}",5,C
